"","X","Date","Month","Locality","Site","Bar","Station","Counter","Quadrat_ID","Live_Dead","Size","Count","Treatment","Location","Substation","Year"
"21",21,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_03","D",32.4,1,"control",NA,"CRN1","2010"
"22",22,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_03","D",15.4,1,"control",NA,"CRN1","2010"
"23",23,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_03","L",42.6,1,"control",NA,"CRN1","2010"
"24",24,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_03","L",38,1,"control",NA,"CRN1","2010"
"25",25,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_03","L",21.7,1,"control",NA,"CRN1","2010"
"26",26,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_03","L",30,1,"control",NA,"CRN1","2010"
"27",27,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_03","L",54.6,1,"control",NA,"CRN1","2010"
"28",28,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_03","L",33.2,1,"control",NA,"CRN1","2010"
"29",29,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_03","L",22.8,1,"control",NA,"CRN1","2010"
"30",30,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",56.4,1,"control",NA,"CRN1","2010"
"31",31,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",27.8,1,"control",NA,"CRN1","2010"
"32",32,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",52,1,"control",NA,"CRN1","2010"
"33",33,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",42.7,1,"control",NA,"CRN1","2010"
"34",34,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",47.8,1,"control",NA,"CRN1","2010"
"35",35,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",48.2,1,"control",NA,"CRN1","2010"
"36",36,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",41.2,1,"control",NA,"CRN1","2010"
"37",37,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",64,1,"control",NA,"CRN1","2010"
"38",38,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",49,1,"control",NA,"CRN1","2010"
"39",39,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",48.2,1,"control",NA,"CRN1","2010"
"40",40,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",54.3,1,"control",NA,"CRN1","2010"
"41",41,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",44.2,1,"control",NA,"CRN1","2010"
"42",42,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",29.4,1,"control",NA,"CRN1","2010"
"43",43,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",58.4,1,"control",NA,"CRN1","2010"
"44",44,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",53.3,1,"control",NA,"CRN1","2010"
"45",45,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",60.7,1,"control",NA,"CRN1","2010"
"46",46,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",44,1,"control",NA,"CRN1","2010"
"47",47,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",70.7,1,"control",NA,"CRN1","2010"
"48",48,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",33.2,1,"control",NA,"CRN1","2010"
"49",49,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",56.5,1,"control",NA,"CRN1","2010"
"50",50,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",28.6,1,"control",NA,"CRN1","2010"
"51",51,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_04","L",42.3,1,"control",NA,"CRN1","2010"
"52",52,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_05","D",60.2,1,"control",NA,"CRN1","2010"
"53",53,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","D",32.5,1,"control",NA,"CRI1","2010"
"54",54,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","D",40.6,1,"control",NA,"CRI1","2010"
"55",55,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","D",41.8,1,"control",NA,"CRI1","2010"
"56",56,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","D",23,1,"control",NA,"CRI1","2010"
"57",57,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","D",37.6,1,"control",NA,"CRI1","2010"
"58",58,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",50.1,1,"control",NA,"CRI1","2010"
"59",59,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",37.2,1,"control",NA,"CRI1","2010"
"60",60,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",25.7,1,"control",NA,"CRI1","2010"
"61",61,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",41,1,"control",NA,"CRI1","2010"
"62",62,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",27.1,1,"control",NA,"CRI1","2010"
"63",63,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",33.6,1,"control",NA,"CRI1","2010"
"64",64,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",34,1,"control",NA,"CRI1","2010"
"65",65,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",34.5,1,"control",NA,"CRI1","2010"
"66",66,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",30.1,1,"control",NA,"CRI1","2010"
"67",67,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",25.2,1,"control",NA,"CRI1","2010"
"68",68,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",43.5,1,"control",NA,"CRI1","2010"
"69",69,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",31.1,1,"control",NA,"CRI1","2010"
"70",70,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",25.7,1,"control",NA,"CRI1","2010"
"71",71,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",47.8,1,"control",NA,"CRI1","2010"
"72",72,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",68.9,1,"control",NA,"CRI1","2010"
"73",73,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",28.6,1,"control",NA,"CRI1","2010"
"74",74,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",32.9,1,"control",NA,"CRI1","2010"
"75",75,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",60.5,1,"control",NA,"CRI1","2010"
"76",76,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",44.6,1,"control",NA,"CRI1","2010"
"77",77,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",21.5,1,"control",NA,"CRI1","2010"
"78",78,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",19.1,1,"control",NA,"CRI1","2010"
"79",79,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_01","L",49.6,1,"control",NA,"CRI1","2010"
"80",80,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","D",40,1,"control",NA,"CRI1","2010"
"81",81,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","D",51.8,1,"control",NA,"CRI1","2010"
"82",82,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","D",42.8,1,"control",NA,"CRI1","2010"
"83",83,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","D",24,1,"control",NA,"CRI1","2010"
"84",84,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","D",39.9,1,"control",NA,"CRI1","2010"
"85",85,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","L",32,1,"control",NA,"CRI1","2010"
"86",86,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","L",37.4,1,"control",NA,"CRI1","2010"
"87",87,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","L",22.5,1,"control",NA,"CRI1","2010"
"88",88,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","L",29.2,1,"control",NA,"CRI1","2010"
"89",89,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","L",49.2,1,"control",NA,"CRI1","2010"
"90",90,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","L",55.4,1,"control",NA,"CRI1","2010"
"91",91,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","L",50.7,1,"control",NA,"CRI1","2010"
"92",92,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","L",70,1,"control",NA,"CRI1","2010"
"93",93,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","L",43.6,1,"control",NA,"CRI1","2010"
"94",94,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","L",42,1,"control",NA,"CRI1","2010"
"95",95,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","L",32,1,"control",NA,"CRI1","2010"
"96",96,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_02","L",56,1,"control",NA,"CRI1","2010"
"97",97,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_03","D",NA,2,"control",NA,"CRI1","2010"
"98",98,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_03","L",NA,13,"control",NA,"CRI1","2010"
"99",99,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_04","D",NA,0,"control",NA,"CRI1","2010"
"100",100,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_04","L",NA,0,"control",NA,"CRI1","2010"
"101",101,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","D",40.5,1,"control",NA,"CRI1","2010"
"102",102,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","D",43.1,1,"control",NA,"CRI1","2010"
"103",103,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","D",41.5,1,"control",NA,"CRI1","2010"
"104",104,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","D",48.5,1,"control",NA,"CRI1","2010"
"105",105,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","D",48.4,1,"control",NA,"CRI1","2010"
"106",106,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","D",36.5,1,"control",NA,"CRI1","2010"
"107",107,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","D",51.4,1,"control",NA,"CRI1","2010"
"108",108,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","D",42.9,1,"control",NA,"CRI1","2010"
"109",109,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","D",45.6,1,"control",NA,"CRI1","2010"
"110",110,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","L",41.1,1,"control",NA,"CRI1","2010"
"111",111,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","L",43.5,1,"control",NA,"CRI1","2010"
"112",112,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","L",27.8,1,"control",NA,"CRI1","2010"
"113",113,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","L",47,1,"control",NA,"CRI1","2010"
"114",114,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","L",29.2,1,"control",NA,"CRI1","2010"
"115",115,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","L",60.8,1,"control",NA,"CRI1","2010"
"116",116,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","L",42.6,1,"control",NA,"CRI1","2010"
"117",117,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","L",39.1,1,"control",NA,"CRI1","2010"
"118",118,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","L",54,1,"control",NA,"CRI1","2010"
"119",119,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","L",32.7,1,"control",NA,"CRI1","2010"
"120",120,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","L",41.6,1,"control",NA,"CRI1","2010"
"121",121,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_05","L",30.4,1,"control",NA,"CRI1","2010"
"122",122,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_06","D",NA,6,"control",NA,"CRI1","2010"
"123",123,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_06","L",NA,5,"control",NA,"CRI1","2010"
"124",124,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_07","D",NA,4,"control",NA,"CRI1","2010"
"125",125,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_07","L",NA,89,"control",NA,"CRI1","2010"
"126",126,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","D",54.8,1,"control",NA,"CRI1","2010"
"127",127,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","D",48.9,1,"control",NA,"CRI1","2010"
"128",128,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","D",20.5,1,"control",NA,"CRI1","2010"
"129",129,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","D",25.5,1,"control",NA,"CRI1","2010"
"130",130,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","D",24.6,1,"control",NA,"CRI1","2010"
"131",131,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","D",50.1,1,"control",NA,"CRI1","2010"
"132",132,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","D",24.9,1,"control",NA,"CRI1","2010"
"133",133,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",42.9,1,"control",NA,"CRI1","2010"
"134",134,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",62.8,1,"control",NA,"CRI1","2010"
"135",135,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",51.1,1,"control",NA,"CRI1","2010"
"136",136,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",60.6,1,"control",NA,"CRI1","2010"
"137",137,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",64,1,"control",NA,"CRI1","2010"
"138",138,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",31.7,1,"control",NA,"CRI1","2010"
"139",139,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",43.5,1,"control",NA,"CRI1","2010"
"140",140,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",52.7,1,"control",NA,"CRI1","2010"
"141",141,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",49,1,"control",NA,"CRI1","2010"
"142",142,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",45,1,"control",NA,"CRI1","2010"
"143",143,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",48.8,1,"control",NA,"CRI1","2010"
"144",144,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",54.1,1,"control",NA,"CRI1","2010"
"145",145,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",51,1,"control",NA,"CRI1","2010"
"146",146,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",49.8,1,"control",NA,"CRI1","2010"
"147",147,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",60.6,1,"control",NA,"CRI1","2010"
"148",148,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",55.4,1,"control",NA,"CRI1","2010"
"149",149,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",28.6,1,"control",NA,"CRI1","2010"
"150",150,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",64.4,1,"control",NA,"CRI1","2010"
"151",151,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",37,1,"control",NA,"CRI1","2010"
"152",152,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",50,1,"control",NA,"CRI1","2010"
"153",153,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",71.3,1,"control",NA,"CRI1","2010"
"154",154,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",41,1,"control",NA,"CRI1","2010"
"155",155,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",24,1,"control",NA,"CRI1","2010"
"156",156,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",50.7,1,"control",NA,"CRI1","2010"
"157",157,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",47.4,1,"control",NA,"CRI1","2010"
"158",158,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",56.6,1,"control",NA,"CRI1","2010"
"159",159,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_08","L",60,1,"control",NA,"CRI1","2010"
"160",160,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_09","D",NA,4,"control",NA,"CRI1","2010"
"161",161,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_09","L",NA,74,"control",NA,"CRI1","2010"
"162",162,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_10","D",NA,6,"control",NA,"CRI1","2010"
"163",163,2010-05-24,"May","CR","I",1,"CRI1","FREDRICK","20100524_CRI1_01_10","L",NA,38,"control",NA,"CRI1","2010"
"164",164,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","D",54.9,1,"control",NA,"CRN2","2010"
"165",165,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","D",48,1,"control",NA,"CRN2","2010"
"166",166,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","D",61.5,1,"control",NA,"CRN2","2010"
"167",167,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","D",75.6,1,"control",NA,"CRN2","2010"
"168",168,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",38.4,1,"control",NA,"CRN2","2010"
"169",169,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",58.6,1,"control",NA,"CRN2","2010"
"170",170,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",49.2,1,"control",NA,"CRN2","2010"
"171",171,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",65.6,1,"control",NA,"CRN2","2010"
"172",172,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",51,1,"control",NA,"CRN2","2010"
"173",173,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",54.4,1,"control",NA,"CRN2","2010"
"174",174,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",43.9,1,"control",NA,"CRN2","2010"
"175",175,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",41.2,1,"control",NA,"CRN2","2010"
"176",176,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",39.1,1,"control",NA,"CRN2","2010"
"177",177,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",49.1,1,"control",NA,"CRN2","2010"
"178",178,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",100.3,1,"control",NA,"CRN2","2010"
"179",179,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",77.4,1,"control",NA,"CRN2","2010"
"180",180,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",54,1,"control",NA,"CRN2","2010"
"181",181,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",63.1,1,"control",NA,"CRN2","2010"
"182",182,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",85.1,1,"control",NA,"CRN2","2010"
"183",183,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",69.4,1,"control",NA,"CRN2","2010"
"184",184,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",39.2,1,"control",NA,"CRN2","2010"
"185",185,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",44.7,1,"control",NA,"CRN2","2010"
"186",186,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_01","L",83,1,"control",NA,"CRN2","2010"
"187",187,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_02","D",24.5,1,"control",NA,"CRN2","2010"
"188",188,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_02","D",27,1,"control",NA,"CRN2","2010"
"189",189,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_02","D",26.5,1,"control",NA,"CRN2","2010"
"190",190,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_02","D",56.9,1,"control",NA,"CRN2","2010"
"191",191,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_02","D",69.5,1,"control",NA,"CRN2","2010"
"192",192,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_02","L",72.4,1,"control",NA,"CRN2","2010"
"193",193,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_02","L",41.5,1,"control",NA,"CRN2","2010"
"194",194,2010-05-24,"May","CR","N",2,"CRN2","FREDRICK/SEAVY","20100524_CRN2_01_02","L",47.1,1,"control",NA,"CRN2","2010"
