"Date","Station","Quadrat_ID","Replicate","Dist_Alng","Dist_frm","Direction","Quad_type","Quad_area","Quadrat","Quad_N","Quad_E","Center_N","Center_E","Rand_Coord","Rand_Dist","Quad_Depth"
"2010-05-24","CRN2","20100524_CRN2_01_03",1,3,"3","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN2","20100524_CRN2_01_04",1,4,"1","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN2","20100524_CRN2_01_05",1,4,"1","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN2","20100524_CRN2_01_06",1,5,"4.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN2","20100524_CRN2_01_07",1,6,"1","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN2","20100524_CRN2_01_08",1,16,"2.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN2","20100524_CRN2_01_09",1,21,"4.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN3","20100524_CRN3_01_01",1,2,"1.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN3","20100524_CRN3_01_02",1,5,"2","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN3","20100524_CRN3_01_03",1,6,"2.5",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN3","20100524_CRN3_01_04",1,11,"1.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN3","20100524_CRN3_01_05",1,24,"0.5",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN3","20100524_CRN3_01_06",1,26,"3",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN3","20100524_CRN3_01_07",1,31,"0.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN3","20100524_CRN3_01_08",1,39,"0.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN3","20100524_CRN3_01_09",1,41,"1.25","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN3","20100524_CRN3_01_10",1,52,"2",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN3","20100524_CRN3_01_11",1,63,"7",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN3","20100524_CRN3_01_12",1,91,"3.5",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN3","20100524_CRN3_01_13",1,107,"3",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO1","20100524_CRO1_01_01",1,4,"5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO1","20100524_CRO1_01_02",1,8,"3.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO1","20100524_CRO1_01_03",1,16,"2.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO1","20100524_CRO1_01_04",1,16,"4","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO1","20100524_CRO1_01_05",1,18,"4.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO1","20100524_CRO1_01_06",1,19,"0.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO1","20100524_CRO1_01_07",1,22,"2.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO1","20100524_CRO1_01_08",1,22,"4","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO1","20100524_CRO1_01_09",1,27,"3.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO1","20100524_CRO1_01_10",1,30,"0.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO1","20100524_CRO1_01_11",1,32,"3.25","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO1","20100524_CRO1_01_12",1,39,"2.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO1","20100524_CRO1_01_13",1,48,"2.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO2","20100524_CRO2_01_01",1,11,"4.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO2","20100524_CRO2_01_02",1,15,"5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO2","20100524_CRO2_01_03",1,17,"2","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO2","20100524_CRO2_01_04",1,26,"4.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO2","20100524_CRO2_01_05",1,29,"4","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO2","20100524_CRO2_01_06",1,40,"4.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO2","20100524_CRO2_01_07",1,42,"2.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO2","20100524_CRO2_01_08",1,60,"0.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO2","20100524_CRO2_01_09",1,72,"3.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO2","20100524_CRO2_01_10",1,78,"4","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO2","20100524_CRO2_01_11",1,82,"2.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO3","20100524_CRO3_01_01",1,2,"4.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO3","20100524_CRO3_01_02",1,3,"0.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO3","20100524_CRO3_01_03",1,7,"0.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO3","20100524_CRO3_01_04",1,7,"4.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO3","20100524_CRO3_01_05",1,15,"2.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO3","20100524_CRO3_01_06",1,17,"5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO3","20100524_CRO3_01_07",1,25,"2.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO3","20100524_CRO3_01_08",1,30,"2","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO3","20100524_CRO3_01_09",1,34,"1","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO3","20100524_CRO3_01_10",1,38,"2.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRO3","20100524_CRO3_01_11",1,40,"0.25","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI1","20100525_HBI1_01_01",1,2,"0.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI1","20100525_HBI1_01_02",1,4,"1.25","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI1","20100525_HBI1_01_03",1,5,"4","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI1","20100525_HBI1_01_04",1,11,"3.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI1","20100525_HBI1_01_05",1,11,"5.25","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI1","20100525_HBI1_01_06",1,14,"2","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI1","20100525_HBI1_01_07",1,15,"3.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI1","20100525_HBI1_01_08",1,20,"1","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI1","20100525_HBI1_01_09",1,20,"5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI1","20100525_HBI1_01_10",1,23,"1.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI2","20100525_HBI2_01_01",1,1,"4.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI2","20100525_HBI2_01_02",1,2,"0.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI2","20100525_HBI2_01_03",1,2,"2.25","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI2","20100525_HBI2_01_04",1,5,"4.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI2","20100525_HBI2_01_05",1,6,"4.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI2","20100525_HBI2_01_06",1,9,"3.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI2","20100525_HBI2_01_07",1,13,"5.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI2","20100525_HBI2_01_08",1,14,"4","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI2","20100525_HBI2_01_09",1,14,"5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI2","20100525_HBI2_01_10",1,15,"2","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI3","20100525_HBI3_01_01",1,2,"2.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI3","20100525_HBI3_01_02",1,5,"4.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI3","20100525_HBI3_01_03",1,10,"0","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI3","20100525_HBI3_01_04",1,11,"4.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI3","20100525_HBI3_01_05",1,16,"1","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI3","20100525_HBI3_01_06",1,19,"0.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI3","20100525_HBI3_01_07",1,23,"0.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI3","20100525_HBI3_01_08",1,23,"4.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI3","20100525_HBI3_01_09",1,25,"0.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI3","20100525_HBI3_01_10",1,26,"3.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI4","20100525_HBI4_01_01",1,2,"3.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI4","20100525_HBI4_01_02",1,4,"2.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI4","20100525_HBI4_01_03",1,5,"2.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI4","20100525_HBI4_01_04",1,5,"5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI4","20100525_HBI4_01_05",1,7,"2.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI4","20100525_HBI4_01_06",1,7,"4.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI4","20100525_HBI4_01_07",1,9,"3.5",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI4","20100525_HBI4_01_08",1,13,"3.25","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI4","20100525_HBI4_01_09",1,14,"4.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBI4","20100525_HBI4_01_10",1,16,"4","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN1","20100525_HBN1_01_01",1,2,"5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN1","20100525_HBN1_01_02",1,3,"3","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN1","20100525_HBN1_01_03",1,4,"2.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN1","20100525_HBN1_01_04",1,6,"2.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN1","20100525_HBN1_01_05",1,7,"4.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN1","20100525_HBN1_01_06",1,14,"2.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN1","20100525_HBN1_01_07",1,14,"5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN1","20100525_HBN1_01_08",1,15,"2.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN1","20100525_HBN1_01_09",1,16,"2","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN1","20100525_HBN1_01_10",1,17,"1.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN2","20100525_HBN2_01_01",1,4,"2","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN2","20100525_HBN2_01_02",1,4,"3.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN2","20100525_HBN2_01_03",1,12,"4","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN2","20100525_HBN2_01_04",1,15,"4.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN2","20100525_HBN2_01_05",1,19,"0.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN2","20100525_HBN2_01_06",1,20,"3","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN2","20100525_HBN2_01_07",1,21,"2.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN2","20100525_HBN2_01_08",1,21,"4.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN2","20100525_HBN2_01_09",1,22,"2.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN2","20100525_HBN2_01_10",1,23,"2.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN3","20100525_HBN3_01_01",1,1,"5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN3","20100525_HBN3_01_02",1,2,"4.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN3","20100525_HBN3_01_03",1,4,"2.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN3","20100525_HBN3_01_04",1,9,"3.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN3","20100525_HBN3_01_05",1,10,"2.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN3","20100525_HBN3_01_06",1,10,"3.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN3","20100525_HBN3_01_07",1,11,"2.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN3","20100525_HBN3_01_08",1,12,"5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN3","20100525_HBN3_01_09",1,14,"3","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBN3","20100525_HBN3_01_10",1,16,"4.25","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO1","20100525_HBO1_01_01",1,6,"0.25","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO1","20100525_HBO1_01_02",1,12,"2.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO1","20100525_HBO1_01_03",1,18,"0.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO1","20100525_HBO1_01_04",1,18,"2.25","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO1","20100525_HBO1_01_05",1,21,"3","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO1","20100525_HBO1_01_06",1,27,"2.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO1","20100525_HBO1_01_07",1,27,"5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO1","20100525_HBO1_01_08",1,28,"0.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO1","20100525_HBO1_01_09",1,29,"1","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO1","20100525_HBO1_01_10",1,30,"0.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO2","20100525_HBO2_01_01",1,5,"3.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO2","20100525_HBO2_01_02",1,6,"3.25","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO2","20100525_HBO2_01_03",1,6,"5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO2","20100525_HBO2_01_04",1,7,"3","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO2","20100525_HBO2_01_05",1,9,"4.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO2","20100525_HBO2_01_06",1,10,"0.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO2","20100525_HBO2_01_07",1,11,"2.25","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO2","20100525_HBO2_01_08",1,11,"2.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO2","20100525_HBO2_01_09",1,13,"3.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO3","20100525_HBO3_01_01",1,2,"5",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO3","20100525_HBO3_01_02",1,3,"1.75",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO3","20100525_HBO3_01_03",1,3,"5",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO3","20100525_HBO3_01_04",1,5,"2.5",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO3","20100525_HBO3_01_05",1,14,"1.5",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO3","20100525_HBO3_01_06",1,14,"4.75",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO3","20100525_HBO3_01_07",1,21,"4.25",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO3","20100525_HBO3_01_08",1,27,"4",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO3","20100525_HBO3_01_09",1,35,"2.75",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","HBO3","20100525_HBO3_01_10",1,35,"4",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","LCN2","20100525_LCN2_01_01",1,4,"0.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","LCN2","20100525_LCN2_01_02",1,4,"2.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","LCN2","20100525_LCN2_01_03",1,8,"1","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","LCN2","20100525_LCN2_01_04",1,9,"1","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","LCN2","20100525_LCN2_01_05",1,10,"0.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","LCN2","20100525_LCN2_01_06",1,12,"2","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","LCN2","20100525_LCN2_01_07",1,13,"3.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","LCN2","20100525_LCN2_01_08",1,14,"1.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","LCN2","20100525_LCN2_01_09",1,16,"2.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-25","LCN2","20100525_LCN2_01_10",1,17,"4.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-26","LCI1","20100526_LCI1_01_01",1,2,"2",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-26","LCI1","20100526_LCI1_01_02",1,5,"1.75",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-26","LCI1","20100526_LCI1_01_03",1,5,"4.25",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-26","LCI1","20100526_LCI1_01_04",1,6,"0.75",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-26","LCI1","20100526_LCI1_01_05",1,9,"2",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-26","LCI1","20100526_LCI1_01_06",1,10,"2.25",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-26","LCI1","20100526_LCI1_01_07",1,11,"3.5",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-26","LCI1","20100526_LCI1_01_08",1,15,"2.25",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-26","LCI1","20100526_LCI1_01_09",1,16,"0.5",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-26","LCI1","20100526_LCI1_01_10",1,17,"4",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-26","LCI2","20100526_LCI2_01_01",1,4,"3",NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
