LATITUDE,LONGITUDE,SEASON,TYPE,COUNTY,LOCATION,STATION,YYYY,MM,DD,TIME,DEPTH (m),SECCHI (m),TEMP (°C),SAL (°/°°),DO (mg/L),pH,WIND (mph),WIND DIR,TN (µg/L),TP (µg/L),CHL (µg/L)(uncorrected),CHL (µg/L)(corrected),COLOR (Pt-Co units),Kd average,Kd Z >= 0.5 m average,Notes,Samplers,Monthly Estuary Averages:,Dates,TEMP (°C),SAL (°/°°),DO (mg/L),pH,TN (µg/L),TP (µg/L),CHL (µg/L)(uncorrected),Color (PCU),Kd Z >= 0.5 m average,Notes:
29.30833,-83.24167,Fall,Estuary,Dixie,Suwannee,7,1997,11,25,.,1.2,Bottom,16.50,30.00,.,.,,,160,11,3.20,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.27500,-83.22500,Fall,Estuary,Dixie,Suwannee,8,1997,11,25,.,1.8,0.8,17.00,27.00,.,.,,,170,19,3.40,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.24167,-83.20833,Fall,Estuary,Dixie,Suwannee,9,1997,11,25,.,4.2,2.7,16.00,28.00,.,.,,,230,17,3.40,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.20833,-83.19167,Fall,Estuary,Dixie,Suwannee,10,1997,11,25,.,3.9,2.4,16.00,25.00,.,.,,,280,23,3.80,,.,.,.,,"J.H., K.H.",,11/25/1997,16.00,19.50,#DIV/0!,#DIV/0!,319,32,3.40,#DIV/0!,#DIV/0!,
29.32723,-83.10382,Winter,River/Stream,Dixie,Suwannee,1,1997,12,22,.,5.7,0.6,14.00,0.00,.,.,,,750,96,0.10,,.,.,.,,"A.H., J.H., B.K.",,,,,,,,,,,,
29.30833,-83.14667,Winter,River/Stream,Dixie,Suwannee,2,1997,12,22,.,2.4,0.6,14.00,0.00,.,.,,,770,94,0.10,,.,.,.,,"A.H., J.H., B.K.",,,,,,,,,,,,
29.34167,-83.19167,Winter,Estuary,Dixie,Suwannee,3,1997,12,22,.,1.2,0.6,15.50,8.00,.,.,,,520,63,0.90,,.,.,.,,"A.H., J.H., B.K.",,,,,,,,,,,,
29.30417,-83.17600,Winter,Estuary,Dixie,Suwannee,4,1997,12,22,.,1.5,0.6,14.00,0.00,.,.,,,770,96,.,,.,.,.,,"A.H., J.H., B.K.",,,,,,,,,,,,
29.27500,-83.16167,Winter,Estuary,Dixie,Suwannee,5,1997,12,22,.,0.9,0.6,15.00,7.00,.,.,,,660,75,2.20,,.,.,.,,"A.H., J.H., B.K.",,,,,,,,,,,,
29.24167,-83.14167,Winter,Estuary,Dixie,Suwannee,6,1997,12,22,.,2.4,1.2,16.80,26.00,.,.,,,300,28,6.00,,.,.,.,,"A.H., J.H., B.K.",,,,,,,,,,,,
29.30833,-83.24167,Winter,Estuary,Dixie,Suwannee,7,1997,12,22,.,4.2,2.1,15.50,29.00,.,.,,,330,18,3.70,,.,.,.,,"A.H., J.H., B.K.",,,,,,,,,,,,
29.27500,-83.22500,Winter,Estuary,Dixie,Suwannee,8,1997,12,22,.,4.2,1.8,15.00,30.00,.,.,,,220,21,6.00,,.,.,.,,"A.H., J.H., B.K.",,,,,,,,,,,,
29.24167,-83.20833,Winter,Estuary,Dixie,Suwannee,9,1997,12,22,.,4.5,1.8,15.50,31.00,.,.,,,240,21,4.80,,.,.,.,,"A.H., J.H., B.K.",,,,,,,,,,,,
29.20833,-83.19167,Winter,Estuary,Dixie,Suwannee,10,1997,12,22,.,3.6,3.0,15.50,31.00,.,.,,,290,16,3.40,,.,.,.,,"A.H., J.H., B.K.",,12/22/1997,15.35,20.25,#DIV/0!,#DIV/0!,416,42,3.86,#DIV/0!,#DIV/0!,
29.32723,-83.10382,Winter,River/Stream,Dixie,Suwannee,1,1998,1,22,.,6.0,0.6,15.00,0.00,7.40,.,,,780,97,0.30,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.30833,-83.14667,Winter,River/Stream,Dixie,Suwannee,2,1998,1,22,.,3.0,0.6,15.00,0.00,7.70,.,,,770,100,0.40,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.34167,-83.19167,Winter,Estuary,Dixie,Suwannee,3,1998,1,22,.,1.5,0.9,16.50,9.00,8.40,.,,,420,54,4.90,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.30417,-83.17600,Winter,Estuary,Dixie,Suwannee,4,1998,1,22,.,1.5,0.6,15.20,0.00,7.20,.,,,770,96,0.50,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.27500,-83.16167,Winter,Estuary,Dixie,Suwannee,5,1998,1,22,.,1.2,0.8,16.20,6.00,8.10,.,,,500,71,2.90,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.24167,-83.14167,Winter,Estuary,Dixie,Suwannee,6,1998,1,22,.,2.3,1.1,15.60,21.00,8.00,.,,,420,41,11.00,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.30833,-83.24167,Winter,Estuary,Dixie,Suwannee,7,1998,1,22,.,4.2,1.2,16.00,21.00,8.90,.,,,360,35,13.20,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.27500,-83.22500,Winter,Estuary,Dixie,Suwannee,8,1998,1,22,.,3.9,1.8,16.30,24.00,8.90,.,,,210,24,12.60,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.24167,-83.20833,Winter,Estuary,Dixie,Suwannee,9,1998,1,22,.,3.6,1.2,16.40,29.00,8.20,.,,,260,28,12.90,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.20833,-83.19167,Winter,Estuary,Dixie,Suwannee,10,1998,1,22,.,3.3,1.8,16.50,32.00,7.90,.,,,250,19,4.60,,.,.,.,,"J.H., J.Lo.",,1/22/1998,16.09,17.75,8.20,#DIV/0!,399,46,7.83,#DIV/0!,#DIV/0!,
29.32723,-83.10382,Winter,River/Stream,Dixie,Suwannee,1,1998,2,24,.,5.7,0.9,15.70,0.00,.,.,,,670,141,1.10,,.,.,.,,"J.H., K.H., J.Lo.",,,,,,,,,,,,
29.30833,-83.14667,Winter,River/Stream,Dixie,Suwannee,2,1998,2,24,.,3.6,0.6,15.20,0.00,.,.,,,700,147,1.10,,.,.,.,,"J.H., K.H., J.Lo.",,,,,,,,,,,,
29.34167,-83.19167,Winter,Estuary,Dixie,Suwannee,3,1998,2,24,.,1.5,0.4,15.20,3.00,.,.,,,990,77,21.20,,.,.,.,,"J.H., K.H., J.Lo.",,,,,,,,,,,,
29.30417,-83.17600,Winter,Estuary,Dixie,Suwannee,4,1998,2,24,.,1.4,0.6,15.20,0.00,.,.,,,740,148,1.40,,.,.,.,,"J.H., K.H., J.Lo.",,,,,,,,,,,,
29.27500,-83.16167,Winter,Estuary,Dixie,Suwannee,5,1998,2,24,.,1.2,0.4,15.70,0.00,.,.,,,790,146,3.60,,.,.,.,,"J.H., K.H., J.Lo.",,,,,,,,,,,,
29.24167,-83.14167,Winter,Estuary,Dixie,Suwannee,6,1998,2,24,.,2.2,0.5,14.70,2.00,.,.,,,760,144,4.90,,.,.,.,,"J.H., K.H., J.Lo.",,,,,,,,,,,,
29.30833,-83.24167,Winter,Estuary,Dixie,Suwannee,7,1998,2,24,.,3.9,0.8,13.70,25.00,.,.,,,460,39,15.90,,.,.,.,,"J.H., K.H., J.Lo.",,,,,,,,,,,,
29.27500,-83.22500,Winter,Estuary,Dixie,Suwannee,8,1998,2,24,.,3.6,0.8,15.20,25.00,.,.,,,380,31,13.20,,.,.,.,,"J.H., K.H., J.Lo.",,,,,,,,,,,,
29.24167,-83.20833,Winter,Estuary,Dixie,Suwannee,9,1998,2,24,.,3.3,0.6,15.70,24.00,.,.,,,640,70,24.00,,.,.,.,,"J.H., K.H., J.Lo.",,,,,,,,,,,,
29.20833,-83.19167,Winter,Estuary,Dixie,Suwannee,10,1998,2,24,.,3.3,0.5,14.70,24.00,.,.,,,500,54,25.40,,.,.,.,,"J.H., K.H., J.Lo.",,2/24/1998,15.01,12.88,#DIV/0!,#DIV/0!,658,89,13.70,#DIV/0!,#DIV/0!,
29.32723,-83.10382,Spring,River/Stream,Dixie,Suwannee,1,1998,3,11,.,4.2,0.5,15.50,0.00,.,.,,,780,127,0.70,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.30833,-83.14667,Spring,River/Stream,Dixie,Suwannee,2,1998,3,11,.,3.6,0.5,15.50,0.00,.,.,,,800,132,0.70,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.34167,-83.19167,Spring,Estuary,Dixie,Suwannee,3,1998,3,11,.,1.3,0.5,15.50,2.00,.,.,,,880,118,13.40,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.30417,-83.17600,Spring,Estuary,Dixie,Suwannee,4,1998,3,11,.,3.6,0.5,15.50,0.00,.,.,,,780,132,0.90,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.27500,-83.16167,Spring,Estuary,Dixie,Suwannee,5,1998,3,11,.,1.5,0.5,15.00,0.00,.,.,,,830,135,1.10,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.24167,-83.14167,Spring,Estuary,Dixie,Suwannee,6,1998,3,11,.,2.3,0.4,14.50,3.00,.,.,,,960,137,6.00,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.30833,-83.24167,Spring,Estuary,Dixie,Suwannee,7,1998,3,11,.,3.6,1.2,14.50,21.00,.,.,,,430,33,7.10,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.27500,-83.22500,Spring,Estuary,Dixie,Suwannee,8,1998,3,11,.,3.6,0.8,14.50,8.00,.,.,,,590,46,12.00,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.24167,-83.20833,Spring,Estuary,Dixie,Suwannee,9,1998,3,11,.,3.6,0.8,14.50,12.00,.,.,,,440,34,9.40,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.20833,-83.19167,Spring,Estuary,Dixie,Suwannee,10,1998,3,11,.,3.0,0.8,14.50,10.00,.,.,,,560,71,7.60,,.,.,.,,"J.H., K.H.",,3/11/1998,14.81,7.00,#DIV/0!,#DIV/0!,684,88,7.19,#DIV/0!,#DIV/0!,
29.32723,-83.10382,Spring,River/Stream,Dixie,Suwannee,1,1998,4,24,.,5.6,0.9,21.00,0.00,.,.,,,960,93,0.70,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.30833,-83.14667,Spring,River/Stream,Dixie,Suwannee,2,1998,4,24,.,3.8,0.9,21.00,0.00,.,.,,,980,100,0.20,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.34167,-83.19167,Spring,Estuary,Dixie,Suwannee,3,1998,4,24,.,1.2,0.5,19.50,7.00,.,.,,,1290,109,52.30,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.30417,-83.17600,Spring,Estuary,Dixie,Suwannee,4,1998,4,24,.,1.1,0.8,20.50,1.00,.,.,,,970,98,1.00,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.27500,-83.16167,Spring,Estuary,Dixie,Suwannee,5,1998,4,24,.,1.6,0.7,21.00,14.00,.,.,,,690,71,19.80,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.24167,-83.14167,Spring,Estuary,Dixie,Suwannee,6,1998,4,24,.,2.5,0.8,21.00,10.00,.,.,,,550,58,13.20,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.30833,-83.24167,Spring,Estuary,Dixie,Suwannee,7,1998,4,24,.,4.0,2.0,21.00,27.00,.,.,,,270,19,5.50,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.27500,-83.22500,Spring,Estuary,Dixie,Suwannee,8,1998,4,24,.,3.6,2.2,21.00,28.00,.,.,,,320,21,5.60,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.24167,-83.20833,Spring,Estuary,Dixie,Suwannee,9,1998,4,24,.,3.5,1.7,21.50,23.00,.,.,,,350,26,8.20,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.20833,-83.19167,Spring,Estuary,Dixie,Suwannee,10,1998,4,24,.,3.7,1.6,21.00,25.00,.,.,,,210,18,7.10,,.,.,.,,"E.B., J.H.",,4/24/1998,20.81,16.88,#DIV/0!,#DIV/0!,581,53,14.09,#DIV/0!,#DIV/0!,
29.32723,-83.10382,Spring,River/Stream,Dixie,Suwannee,1,1998,5,29,.,5.5,2.2,24.90,0.00,.,.,,,1190,73,1.20,,.,.,.,,"J.H., M. K.",,,,,,,,,,,,
29.30833,-83.14667,Spring,River/Stream,Dixie,Suwannee,2,1998,5,29,.,2.6,1.7,24.50,0.00,.,.,,,1180,81,1.70,,.,.,.,,"J.H., M. K.",,,,,,,,,,,,
29.34167,-83.19167,Spring,Estuary,Dixie,Suwannee,3,1998,5,29,.,1.5,1.1,29.00,6.00,.,.,,,930,74,13.10,,.,.,.,,"J.H., M. K.",,,,,,,,,,,,
29.30417,-83.17600,Spring,Estuary,Dixie,Suwannee,4,1998,5,29,.,1.6,1.6,25.30,0.00,.,.,,,1180,70,2.10,,.,.,.,,"J.H., M. K.",,,,,,,,,,,,
29.27500,-83.16167,Spring,Estuary,Dixie,Suwannee,5,1998,5,29,.,1.8,1.1,26.20,0.50,.,.,,,740,54,6.40,,.,.,.,,"J.H., M. K.",,,,,,,,,,,,
29.24167,-83.14167,Spring,Estuary,Dixie,Suwannee,6,1998,5,29,.,2.1,1.1,27.00,4.00,.,.,,,470,43,15.30,,.,.,.,,"J.H., M. K.",,,,,,,,,,,,
29.30833,-83.24167,Spring,Estuary,Dixie,Suwannee,7,1998,5,29,.,4.4,1.4,29.20,15.00,.,.,,,290,24,21.70,,.,.,.,,"J.H., M. K.",,,,,,,,,,,,
29.27500,-83.22500,Spring,Estuary,Dixie,Suwannee,8,1998,5,29,.,4.2,1.5,29.90,13.00,.,.,,,390,36,23.60,,.,.,.,,"J.H., M. K.",,,,,,,,,,,,
29.24167,-83.20833,Spring,Estuary,Dixie,Suwannee,9,1998,5,29,.,4.3,2.0,30.00,15.00,.,.,,,310,26,24.20,,.,.,.,,"J.H., M. K.",,,,,,,,,,,,
29.20833,-83.19167,Spring,Estuary,Dixie,Suwannee,10,1998,5,29,.,3.9,1.3,29.90,21.00,.,.,,,420,45,13.80,,.,.,.,,"J.H., M. K.",,5/29/1998,28.31,9.31,#DIV/0!,#DIV/0!,591,47,15.03,#DIV/0!,#DIV/0!,
29.32723,-83.10382,Summer,River/Stream,Dixie,Suwannee,1,1998,6,25,.,5.5,3.5,26.43,0.00,7.60,.,,,1300,66,2.90,,.,.,.,,"E.B., T.G.",,,,,,,,,,,,
29.30833,-83.14667,Summer,River/Stream,Dixie,Suwannee,2,1998,6,25,.,2.0,1.8,27.46,0.00,6.81,.,,,1210,62,5.30,,.,.,.,,"E.B., T.G.",,,,,,,,,,,,
29.34167,-83.19167,Summer,Estuary,Dixie,Suwannee,3,1998,6,30,.,0.9,0.8,31.40,19.60,7.49,.,,,680,70,25.60,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.30417,-83.17600,Summer,Estuary,Dixie,Suwannee,4,1998,6,25,.,1.5,Bottom,27.82,1.50,6.73,.,,,1110,70,8.00,,.,.,.,,"E.B., T.G.",,,,,,,,,,,,
29.27500,-83.16167,Summer,Estuary,Dixie,Suwannee,5,1998,6,30,.,2.2,1.0,30.30,15.50,5.16,.,,,540,54,3.60,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.24167,-83.14167,Summer,Estuary,Dixie,Suwannee,6,1998,6,30,.,2.4,1.5,30.20,17.90,4.40,.,,,450,42,4.50,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.30833,-83.24167,Summer,Estuary,Dixie,Suwannee,7,1998,6,30,.,4.2,2.5,32.50,25.10,.,.,,,400,54,7.80,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.27500,-83.22500,Summer,Estuary,Dixie,Suwannee,8,1998,6,30,.,4.1,2.5,30.30,28.30,.,.,,,310,40,5.20,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.24167,-83.20833,Summer,Estuary,Dixie,Suwannee,9,1998,6,30,.,4.5,2.6,30.50,27.70,6.02,.,,,320,37,4.30,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.20833,-83.19167,Summer,Estuary,Dixie,Suwannee,10,1998,6,30,.,3.9,2.3,30.80,25.80,5.66,.,,,310,33,6.30,,.,.,.,,"E.B., J.H.",,6/30/1998,30.48,20.18,5.91,#DIV/0!,515,50,8.16,#DIV/0!,#DIV/0!,
29.32723,-83.10382,Summer,River/Stream,Dixie,Suwannee,1,1998,7,10,.,6.6,2.5,28.30,0.20,6.82,.,,,1160,51,5.50,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
29.30833,-83.14667,Summer,River/Stream,Dixie,Suwannee,2,1998,7,10,.,2.1,2.3,28.60,0.60,7.15,.,,,860,55,8.60,,.,.,.,,"E.B., J.H.",,,,,,,,,,,,
