Verified,SHA,Dilution,Date_samp,Station,SHA_status,Time_samp,W_depth,Surface_sal,Surface_temp,Surface_DO,Bottom_sal,Bottom_temp,Bottom_DO,Wind_dir,Wind_speed,pH,Turbidity,Fecal_coliform,Tide,Date_received,Time_received
V,28,3,840509,431,1,1434,4,0,226,82,0,236,64,7,3,78,660,8,4,,
V,28,3,840509,236,1,1436,6,0,236,83,0,236,72,7,3,80,520,110,4,,
V,28,3,840509,435,1,1442,8,0,225,73,0,225,58,2,15,78,560,13,4,,
V,28,3,840509,242,1,1447,6,0,224,71,0,226,61,2,15,78,600,8,4,,
V,28,3,840509,244,1,1452,6,0,224,68,0,226,62,2,15,77,540,8,4,,
V,28,3,840509,246,1,1456,6,0,225,62,0,228,55,2,15,77,580,9,4,,
V,28,3,840814,200,1,1241,10,0,264,53,0,258,53,200,3,75,320,79,7,,
V,28,3,840814,444,1,1245,6,0,260,56,0,257,51,200,3,74,320,33,7,,
V,28,3,840814,480,1,1250,8,3,287,64,,,,200,3,76,540,23,7,,
V,28,3,840814,460,1,1252,6,78,279,54,,,,200,3,78,380,33,7,,
V,28,3,840814,450,1,1256,4,112,280,56,,,,200,3,78,380,23,7,,
V,28,3,840814,425,1,1300,8,15,288,53,156,280,49,200,3,77,340,11,7,,
V,28,3,840814,230,1,1306,8,36,285,60,197,283,54,200,3,77,340,8,7,,
V,28,3,840814,232,1,1310,8,75,288,58,222,284,52,200,3,78,380,11,7,,
V,28,3,840814,234,1,1314,8,62,282,54,201,280,26,200,3,78,400,5,7,,
V,28,3,840814,235,1,1319,6,99,298,45,,,,200,3,78,420,5,7,,
V,28,3,840814,237,1,1323,4,150,296,54,,,,200,3,79,520,2,7,,
V,28,3,840814,445,1,1328,4,79,309,67,,,,258,4,80,480,2,7,,
V,28,3,840814,238,1,1332,6,46,305,51,,,,258,4,79,440,2,8,,
V,28,3,840814,240,1,1334,6,50,301,53,,,,258,4,78,480,2,8,,
V,28,3,840814,442,1,1338,8,18,295,50,,,,258,4,78,480,23,8,,
V,28,3,840814,241,1,1346,4,63,281,48,,,,258,4,78,400,7,8,,
V,28,3,840814,431,1,1349,6,26,281,50,43,278,45,258,4,77,360,13,8,,
V,28,3,840814,236,1,1351,10,1,273,55,1,270,49,258,4,75,440,33,8,,
V,28,3,840814,435,1,1357,8,0,277,56,0,265,50,258,4,75,440,49,8,,
V,28,3,840814,242,1,1402,10,0,266,56,0,255,49,258,4,75,320,11,8,,
V,28,3,840814,244,1,1406,12,0,257,57,0,255,50,258,4,75,300,17,8,,
V,28,3,840814,246,1,1411,16,0,265,55,0,256,49,258,4,74,300,13,8,,
V,28,3,840815,204,1,850,6,13,266,53,15,267,46,30,4,79,340,240,4,,
V,28,3,840815,207,1,856,4,2,260,55,,,,30,4,78,320,170,4,,
V,28,3,840815,202,1,859,6,0,252,58,0,253,49,30,4,79,380,17,4,,
V,28,3,840815,434,1,906,6,45,271,53,167,280,49,30,4,77,280,33,4,,
V,28,3,840815,222,1,912,2,109,296,57,,,,30,4,77,400,27,4,,
V,28,3,840815,424,1,920,4,46,269,48,,,,30,4,78,200,33,4,,
V,28,3,840815,206,1,936,4,96,271,45,,,,30,4,78,280,8,4,,
V,28,3,840815,208,1,942,6,95,268,48,,,,30,4,77,120,8,4,,
V,28,3,840815,420,1,955,2,205,288,49,,,,5,8,77,320,2,5,,
V,28,3,840815,218,1,1002,6,214,287,58,242,288,55,5,8,78,120,8,5,,
V,28,3,840815,410,1,1012,4,112,274,41,,,,5,8,78,80,5,5,,
V,28,3,840815,210,1,1016,4,74,269,45,,,,5,8,77,80,17,5,,
V,28,3,840815,401,1,1025,2,161,285,54,,,,,6,78,120,2,5,,
V,28,3,840815,400,1,1042,2,126,276,45,,,,,6,79,100,2,5,,
V,28,3,840815,214,1,1047,4,209,285,60,,,,,6,81,80,2,5,,
V,28,3,840815,216,1,1051,6,205,284,72,247,284,60,,6,82,100,2,5,,
V,28,3,840815,220,1,1055,8,201,288,63,283,284,48,,6,82,80,2,5,,
V,28,3,840815,224,1,1059,6,180,286,79,180,284,67,,6,83,100,2,5,,
V,28,3,840815,226,1,1103,8,135,286,58,289,288,37,,6,81,80,8,5,,
V,28,3,840815,250,1,1108,2,31,275,61,,,,,6,81,80,33,5,,
V,28,3,840815,228,1,1112,2,0,256,56,,,,,6,81,80,70,6,,
V,28,3,841127,202,1,806,6,170,162,86,172,162,83,130,3,80,180,140,3,,
V,28,3,841127,207,1,809,4,126,162,85,,,,130,3,79,180,350,3,,
V,28,3,841127,204,1,813,6,160,161,83,160,161,81,130,3,79,160,170,3,,
V,28,3,841127,434,1,818,10,209,158,81,244,153,81,130,3,80,180,920,3,,
V,28,3,841127,424,1,830,2,235,158,81,,,,130,5,79,180,79,3,,
V,28,3,841127,208,1,845,8,250,162,74,248,159,69,130,5,78,190,49,3,,
V,28,3,841127,420,1,851,4,256,161,75,,,,130,8,79,150,23,3,,
V,28,3,841127,218,1,855,6,267,151,88,280,149,89,130,8,81,120,33,3,,
V,28,3,841127,410,1,903,10,269,156,80,269,155,77,130,8,80,140,170,4,,
V,28,3,841127,210,1,908,4,269,157,79,,,,130,8,79,140,140,4,,
V,28,3,841127,401,1,918,4,270,155,92,,,,130,8,80,120,130,4,,
V,28,3,841127,400,1,925,4,260,162,82,,,,130,8,79,140,79,4,,
V,28,3,841127,212,1,929,2,268,163,79,,,,130,8,79,180,170,4,,
V,28,3,841127,214,1,940,4,291,149,90,291,146,96,130,8,82,86,5,4,,
V,28,3,841127,216,1,945,8,290,150,85,290,146,88,130,8,82,83,12,4,,
V,28,3,841127,220,1,948,8,290,151,84,290,145,88,130,8,82,80,17,4,,
V,28,3,841127,224,1,952,6,290,147,87,287,146,90,130,8,82,88,14,4,,
V,28,3,841127,226,1,957,10,246,154,86,317,137,87,130,8,81,100,130,4,,
V,28,3,841127,250,1,1001,2,211,161,88,,,,130,8,81,94,240,4,,
V,28,3,841127,200,1,1008,4,40,170,85,47,167,86,130,8,79,120,79,4,,
V,28,3,841127,444,1,1012,6,34,170,94,34,167,88,130,8,79,160,240,4,,
V,28,3,841127,480,1,1016,8,67,170,91,67,167,88,130,8,79,120,170,4,,
V,28,3,841127,460,1,1019,4,101,170,90,,,,130,8,80,120,540,4,,
V,28,3,841127,450,1,1025,4,178,166,90,204,161,87,130,8,80,140,33,4,,
V,28,3,841127,425,1,1029,6,139,164,89,274,153,85,130,8,80,160,130,4,,
V,28,3,841127,230,1,1034,6,233,155,89,248,152,92,130,10,81,120,920,4,,
V,28,3,841127,232,1,1040,8,249,154,92,283,145,94,130,10,82,140,23,4,,
V,28,3,841127,234,1,1044,6,248,156,92,248,154,89,130,10,82,140,11,4,,
V,28,3,841127,235,1,1049,4,228,162,91,,,,130,10,81,140,79,4,,
V,28,3,841127,237,1,1054,4,237,161,91,,,,150,12,81,160,23,4,,
V,28,3,841127,445,1,1058,4,258,161,90,,,,150,12,82,140,23,4,,
V,28,3,841127,238,1,1104,6,188,172,83,194,175,81,150,12,80,160,920,5,,
V,28,3,841127,240,1,1107,6,180,176,86,180,172,82,150,12,79,160,540,5,,
V,28,3,841127,442,1,1113,2,192,177,88,,,,150,12,80,160,220,5,,
V,28,3,841127,241,1,1118,2,206,166,92,,,,150,12,81,180,110,5,,
V,28,3,841127,431,1,1122,4,141,165,84,141,164,80,150,12,79,180,240,5,,
V,28,3,841127,236,1,1130,10,135,169,82,142,161,77,150,10,78,160,350,5,,
V,28,3,841127,435,1,1138,12,11,170,83,8,169,79,170,10,79,120,920,5,,
V,28,3,841127,242,1,1144,12,1,172,69,1,170,80,170,10,80,97,350,5,,
V,28,3,841127,244,1,1148,16,1,177,87,1,171,84,170,10,80,84,920,5,,
V,28,3,841127,246,1,1153,14,1,172,82,1,168,74,170,10,79,110,920,5,,
V,28,3,841128,202,1,913,6,128,174,95,128,174,95,280,12,79,220,240,3,,
V,28,3,841128,207,1,914,4,101,174,95,,,,280,12,78,180,920,3,,
V,28,3,841128,204,1,922,8,140,172,86,138,176,78,280,12,78,180,130,3,,
V,28,3,841128,434,1,926,10,185,169,85,184,172,81,280,12,79,240,240,3,,
V,28,3,841128,222,1,930,4,223,163,88,,,,280,12,80,640,23,3,,
