TripID,Reference,Project_1,Project_2,Project_3,WorkUp,Stratum,Gear,Rep,LocationInstrument,Longitude,Latitude,End_Longitude,End_Latitude,Station_1,Station_2,Station_3,PrimaryInvestigator,Crew1,Crew2,Crew3,Crew4,TimeZone,StartDepth,Zone,Subzone,Grid,TempInstrument,CondInstrument,pHInstrument,SalInstrument,DisO2Instrument,HydroInstrument,Secchi_on_bottom,Secchi_depth,Sediment_Depth,SAM,BottomVegCover,Seagrass_habitat_descriptor,Distance_to_edge,TotalShoreCover,Total_Over_Site,TotalShoreDamaged,Intermittent_land,Dist_to_Shore,Dist_to_ShoreType,Dist_to_MHTM,BycatchQuantity,BankDistance,Bank,ShoreDistance,Event,Procedural_exception,RecordPerson,Historic_Reference,Flag,Currelat,Winrelat,Wng_dpth,Twist,NetWidth,Panels,Enddepth,Dist_tow,Bearing,Fishing_mode,Guide,Target_species_primary,Target_species_secondary,Electro_TransectDistance,Electro_Model,Electro_PedalTime,Electro_Pulse,Electro_Amps,Electro_Voltage,Electro_current,Net_Ind,SeineSlope,work_up,starttime,date,soaktime,searchtime,endtime
CKM19960611,CKM1996061105,AM,.,.,S,A,20,1,D,-83.068667,29.126167,,,.,,,,,,,,EDT,1.3,C,,288,45,45,45,45,45,45,NO,1.1,,,40,,,,,,,,,,2,75,U,75,,,,CKR960119,,0,270,1.3,,,,,,,,,,,,,,,,,,.,,,48300,13311,,,
CKM19960611,CKM1996061106,AM,.,.,S,A,20,1,D,-83.059667,29.1175,,,.,,,,,,,,EDT,1.3,C,,289,45,45,45,45,45,45,NO,1,,,100,,,,,,,,,,1.5,,U,,,,,CKR960120,,0,0,1.3,,,,,,,,,,,,,,,,,,.,,,51600,13311,,,
CKM19960612,CKM1996061201,AM,.,.,S,B,20,1,D,-83.074,29.1855,,,.,,,,,,,,EDT,1.1,B,,198,45,45,45,45,45,45,YES,1.1,,,0,,,,,,,,,,5,99,G,99,,,,CKR960121,,0,270,1.1,,,,,,,,,,,,,,,,,,.,,,33900,13312,,,
CKM19960612,CKM1996061202,AM,.,.,S,.,22,1,D,-83.077667,29.197167,,,.,,,,,,,,EDT,1.1,B,,198,45,45,45,45,45,45,NO,0.9,,,0,,,,,,,,,,8,0,G,0,,,,CKR960122,,0,0,0.1,,,,,,,,,,,,,,,,,,.,,,37200,13312,,,
CKM19960612,CKM1996061203,AM,.,.,S,.,22,1,D,-83.086333,29.190167,,,.,,,,,,,,EDT,0.6,B,,197,45,45,45,45,45,45,YES,0.5,,,0,,,,,,,,,,1,0,G,0,,,,CKR960123,,0,180,0,,,,,,,,,,,,,,,,,,.,,,40500,13312,,,
CKM19960612,CKM1996061204,AM,.,.,S,.,22,1,D,-83.098167,29.272167,,,.,,,,,,,,EDT,1.1,B,,142,45,45,45,45,45,45,YES,1.1,,,0,,,,,,,,,,10,6,G,8,,,,CKR960124,,0,0,1,,,,,,,,,,,,,,,,,,.,,,46800,13312,,,
CKM19960612,CKM1996061205,AM,.,.,S,.,22,1,D,-83.086,29.209833,,,.,,,,,,,,EDT,1,B,,188,45,45,45,45,45,45,YES,0.8,,,0,,,,,,,,,,0.3,0,G,0,,,,CKR960125,,90,270,0,,,,,,,,,,,,,,,,,,.,,,51600,13312,,,
CKM19960613,CKM1996061301,AM,.,.,S,.,300,1,L,-83.028167,29.131167,,,.,,,,,,,,EDT,2.4,C,,291,45,45,45,45,45,45,NO,1.1,,,,,,,,,,,,,1,,.,,,,,CKR961008,,0,180,,,,,2.4,0.1,267,,,,,,,,,,,,.,,,32760,13313,480,,
CKM19960613,CKM1996061302,AM,.,.,S,.,300,1,L,-82.992333,29.125,,,.,,,,,,,,EDT,2.7,C,,293,45,45,45,45,45,45,NO,1.3,,,,,,,,,,,,,25,,.,,,,,CKR961009,,0,180,,,,,2.7,0.2,292,,,,,,,,,,,,.,,,35100,13313,600,,
CKM19960613,CKM1996061303,AM,.,.,S,.,300,1,L,-82.955833,29.109,,,.,,,,,,,,EDT,3.1,C,,390,45,45,45,45,45,45,NO,2.2,,,,,,,,,,,,,130,,.,,,,,CKR961010,,0,0,,,,,3.1,0.2,260,,,,,,,,,,,,.,,,38400,13313,600,,
CKM19960613,CKM1996061304,AM,.,.,S,.,300,1,L,-83.0055,29.0585,,,.,,,,,,,,EDT,4.6,C,,387,45,45,45,45,45,45,NO,3,,,,,,,,,,,,,2,,.,,,,,CKR961011,,0,0,,,,,4.9,0.2,198,,,,,,,,,,,,.,,,43740,13313,600,,
CKM19960613,CKM1996061305,AM,.,.,S,.,300,1,L,-83.004667,29.025,,,.,,,,,,,,EDT,4.8,C,,429,45,45,45,45,45,45,NO,2.7,,,,,,,,,,,,,20,,.,,,,,CKR961012,,0,0,,,,,4.9,0.2,193,,,,,,,,,,,,.,,,45720,13313,600,,
CKM19960613,CKM1996061306,AM,.,.,S,.,300,1,L,-83.051,29.0275,,,.,,,,,,,,EDT,6,C,,426,45,45,45,45,45,45,NO,2.8,,,,,,,,,,,,,8,,.,,,,,CKR961013,,0,0,,,,,5.6,0.2,331,,,,,,,,,,,,.,,,48360,13313,600,,
CKM19960613,CKM1996061307,AM,.,.,S,.,300,1,L,-83.058167,29.049333,,,.,,,,,,,,EDT,5.6,C,,407,45,45,45,45,45,45,NO,3,,,,,,,,,,,,,7,,.,,,,,CKR961014,,0,180,,,,,5.2,0.2,64,,,,,,,,,,,,.,,,50400,13313,600,,
CKM19960613,CKM1996061308,AM,.,.,S,A,20,1,D,-83.034833,29.075167,,,.,,,,,,,,EDT,1.1,C,,361,45,45,45,45,45,45,YES,1.1,,,20,,,,,,,,,,20,,U,,,,,CKR960126,,0,180,1.1,,,,,,,,,,,,,,,,,,.,,,52320,13313,,,
CKM19960613,CKM1996061309,AM,.,.,S,.,300,1,D,-83.070833,29.0895,,,.,,,,,,,,EDT,2.1,C,,335,45,45,45,45,45,45,YES,1.5,,,,,,,,,,,,,3,,.,,,,,CKR961015,,0,90,,,,,2.1,0.2,95,,,,,,,,,,,,.,,,55980,13313,600,,
CKM19960617,CKM1996061701,AM,.,.,S,.,22,1,D,-82.974333,29.1385,,,.,,,,,,,,EDT,1.2,C,,271,45,45,45,45,45,45,NO,1,,,0,,,,,,,,,,1,,E,,,,,CKR960127,,0,0,1.2,,,,,,,,,,,,,,,,,,.,,,35700,13317,,,
CKM19960617,CKM1996061702,AM,.,.,S,A,20,1,D,-83.026833,29.096667,,,.,,,,,,,,EDT,0.9,C,,338,45,45,45,45,45,45,YES,0.9,,,35,,,,,,,,,,3,6,G,0,,,,CKR960128,,0,0,0,,,,,,,,,,,,,,,,,,.,,,38700,13317,,,
CKM19960617,CKM1996061703,AM,.,.,S,B,20,1,D,-83.074333,29.113833,,,.,,,,,,,,EDT,0.7,C,,311,45,45,45,45,45,45,YES,0.7,,,0,,,,,,,,,,20,2,G,10,,,,CKR960129,,0,0,0.4,,,,,,,,,,,,,,,,,,.,,,43200,13317,,,
CKM19960617,CKM1996061704,AM,.,.,S,.,300,1,D,-83.104167,29.0855,,,.,,,,,,,,EDT,4.2,C,,333,45,45,45,45,45,45,NO,2.5,,,,,,,,,,,,,60,,.,,,,,CKR961016,,0,0,,,,,4.5,0.2,270,,,,,,,,,,,,.,,,47520,13317,600,,
CKM19960617,CKM1996061705,AM,.,.,S,.,300,1,D,-83.1385,29.064167,,,.,,,,,,,,EDT,6.8,C,,379,45,45,45,45,45,45,NO,5.2,,,,,,,,,,,,,20,,.,,,,,CKR961017,,0,0,,,,,6.6,0.21,90,,,,,,,,,,,,.,,,51000,13317,600,,
CKM19960617,CKM1996061706,AM,.,.,S,.,300,1,D,-83.165667,29.100833,,,.,,,,,,,,EDT,6.3,C,,306,45,45,45,45,45,45,NO,5.3,,,,,,,,,,,,,10,,.,,,,,CKR961018,,0,0,,,,,5.9,0.2,0,,,,,,,,,,,,.,,,53700,13317,600,,
CKM19960617,CKM1996061707,AM,.,.,S,.,300,1,D,-83.100667,29.139833,,,.,,,,,,,,EDT,5.6,C,,263,45,45,45,45,45,45,NO,1.8,,,,,,,,,,,,,1,,.,,,,,CKR961019,,0,270,,,,,2.4,0.2,330,,,,,,,,,,,,.,,,56640,13317,480,,
CKM19960618,CKM1996061801,AM,.,.,S,.,300,1,D,-83.1305,29.182333,,,.,,,,,,,,EDT,3.4,C,,213,45,45,45,45,45,45,NO,1.6,,,,,,,,,,,,,15,,.,,,,,CKR961020,,0,0,,,,,3.4,0.23,103,,,,,,,,,,,,.,,,32340,13318,600,,
CKM19960618,CKM1996061802,AM,.,.,S,.,300,1,D,-83.133833,29.2055,,,.,,,,,,,,EDT,3,B,,185,45,45,45,45,45,45,NO,1.8,,,,,,,,,,,,,50,,.,,,,,CKR961021,,0,0,,,,,2.1,0.21,109,,,,,,,,,,,,.,,,34320,13318,600,,
CKM19960618,CKM1996061803,AM,.,.,S,.,300,1,D,-83.159333,29.2295,,,.,,,,,,,,EDT,1.9,B,,173,45,45,45,45,45,45,YES,1.4,,,,,,,,,,,,,3,,.,,,,,CKR961022,,0,180,,,,,2.2,0.19,280,,,,,,,,,,,,.,,,36300,13318,600,,
CKM19960618,CKM1996061804,AM,.,.,S,.,300,1,D,-83.198333,29.2775,,,.,,,,,,,,EDT,2.8,B,,136,45,45,45,45,45,45,NO,2.3,,,,,,,,,,,,,4,,.,,,,,CKR961023,,0,0,,,,,2.1,0.2,134,,,,,,,,,,,,.,,,38640,13318,600,,
CKM19960618,CKM1996061805,AM,.,.,S,.,300,1,D,-83.151667,29.245667,,,.,,,,,,,,EDT,2.1,B,,161,45,45,45,45,45,45,YES,2.1,,,,,,,,,,,,,18,,.,,,,,CKR961024,,0,0,,,,,2.2,0.21,132,,,,,,,,,,,,.,,,41280,13318,600,,
CKM19960618,CKM1996061806,AM,.,.,S,.,300,1,D,-83.107167,29.2085,,,.,,,,,,,,EDT,2.4,B,,187,45,45,45,45,45,45,NO,1.6,,,,,,,,,,,,,35,,.,,,,,CKR961025,,0,0,,,,,2.4,0.18,195,,,,,,,,,,,,.,,,45540,13318,600,,
CKM19960619,CKM1996061901,AM,.,.,S,D,23,1,D,-83.114833,29.304333,,,.,,,,,,,,EDT,1,B,,121,45,45,45,45,45,45,NO,2,,,30,,,,,,,,,,2,3,G,0,,,,CKR961026,,0,0,0,,,,,,,,,,,,,,,,,,.,,,34200,13319,,,
CKM19960619,CKM1996061902,AM,.,.,S,.,300,1,D,-83.1435,29.317167,,,.,,,,,,,,EDT,2.2,B,,110,45,45,45,45,45,45,NO,1,,,,,,,,,,,,,3,,.,,,,,CKR961027,,0,90,,,,,2.4,0.11,5,,,,,,,,,,,,.,,,37860,13319,300,,
CKM19960619,CKM1996061903,AM,.,.,S,.,22,1,D,-83.158333,29.333667,,,.,,,,,,,,EDT,1,B,,100,45,45,45,45,45,45,YES,0.4,,,0,,,,,,,,,,3,0,G,99,,,,CKR961028,,0,0,0,,,,,,,,,,,,,,,,,,.,,,41400,13319,,,
CKM19960619,CKM1996061904,AM,.,.,S,.,300,1,D,-83.2285,29.3585,,,.,,,,,,,,EDT,2.6,B,,87,45,45,45,45,45,45,NO,1.7,,,,,,,,,,,,,1,,.,,,,,CKR961029,,0,0,,,,,2.7,0.25,182,,,,,,,,,,,,.,,,49680,13319,600,,
CKM19960619,CKM1996061905,AM,.,.,S,A,20,1,D,-83.186833,29.296833,,,.,,,,,,,,EDT,0.9,B,,125,45,45,45,45,45,45,YES,1.2,,,50,,,,,,,,,,0.3,,U,,,,,CKR961030,,0,0,0.9,,,,,,,,,,,,,,,,,,.,,,53100,13319,,,
CKM19960709,CKM1996070901,AM,.,.,S,.,22,1,D,-83.038333,29.171667,,,.,,,,,,,,EDT,0.5,C,,218,08,08,08,08,08,08,NO,0.5,,,0,,,,,,,,,,50,0,G,3,,,,CKR960130,,0,0,0.3,,,,,,,,,,,,,,,,,,.,,,33540,13339,,,
CKM19960709,CKM1996070902,AM,.,.,S,.,22,1,D,-83.014,29.170167,,,.,,,,,,,,EDT,0.4,C,,220,08,08,08,08,08,08,NO,0.4,,,0,,,,,,,,,,20,2,G,2,,,,CKR960131,,0,90,0.5,,,,,,,,,,,,,,,,,,.,,,37800,13339,,,
CKM19960709,CKM1996070903,AM,.,.,S,.,22,1,D,-83.001,29.163833,,,.,,,,,,,,EDT,0.5,C,,246,08,08,08,08,08,08,NO,0.4,,,0,,,,,,,,,,0.5,1,G,1,,,,CKR960132,,0,0,0.2,,,,,,,,,,,,,,,,,,.,,,40740,13339,,,
CKM19960709,CKM1996070904,AM,.,.,S,.,22,1,G,-83.03,29.151667,,,.,,,,,,,,EDT,0.5,C,,245,08,08,08,08,08,08,NO,0.4,,,0,,,,,,,,,,10,4,G,3,,,,CKR960133,,0,180,0.3,,,,,,,,,,,,,,,,,,.,,,47280,13339,,,
CKM19960710,CKM1996071001,AM,.,.,S,B,20,1,D,-83.0395,29.183833,,,.,,,,,,,,EDT,0.7,B,,200,08,08,08,08,08,08,NO,0.6,,,0,,,,,,,,,,0.5,10,G,10,,,,CKR960134,,0,0,0.5,,,,,,,,,,,,,,,,,,.,,,36240,13340,,,
CKM19960710,CKM1996071002,AM,.,.,S,B,20,1,D,-83.0655,29.186833,,,.,,,,,,,,EDT,1.1,B,,199,08,08,08,08,08,08,NO,1,,,0,,,,,,,,,,1,40,U,40,,,,CKR960135,,0,270,1.5,,,,,,,,,,,,,,,,,,.,,,39180,13340,,,
CKM19960710,CKM1996071003,AM,.,.,S,.,22,1,D,-83.085833,29.190167,,,.,,,,,,,,EDT,0.3,B,,197,08,08,08,08,08,08,YES,0.3,,,0,,,,,,,,,,2,0,G,0,,,,CKR960136,,0,180,0,,,,,,,,,,,,,,,,,,.,,,42000,13340,,,
CKM19960710,CKM1996071004,AM,.,.,S,A,20,1,D,-83.0745,29.102167,,,.,,,,,,,,EDT,0.7,C,,311,08,08,08,08,08,08,YES,0.7,,,100,,,,,,,,,,1,,U,,,,,CKR960137,,0,0,0.7,,,,,,,,,,,,,,,,,,.,,,47940,13340,,,
CKM19960710,CKM1996071005,AM,.,.,S,.,22,1,D,-83.062167,29.101833,,,.,,,,,,,,EDT,0.2,C,,312,08,08,08,08,08,08,YES,1,,,0,,,,,,,,,,3,4,G,0,,,,CKR960138,,0,90,0,,,,,,,,,,,,,,,,,,.,,,49980,13340,,,
CKM19960710,CKM1996071006,AM,.,.,S,.,22,1,D,-83.054667,29.131333,,,.,,,,,,,,EDT,0.2,C,,289,08,08,08,08,08,08,YES,0.2,,,0,,,,,,,,,,100,10,G,0,,,,CKR960139,,0,90,0,,,,,,,,,,,,,,,,,,.,,,57060,13340,,,
CKM19960711,CKM1996071101,AM,.,.,S,.,300,1,D,-82.974167,29.1435,,,.,,,,,,,,EDT,2.7,C,,271,08,08,08,08,08,08,NO,0.8,,,,,,,,,,,,,20,,.,,,,,CKR961031,,0,0,,,,,2.5,0.22,45,,,,,,,,,,,,.,,,34980,13341,600,,
CKM19960711,CKM1996071102,AM,.,.,S,.,300,1,D,-82.964667,29.101167,,,.,,,,,,,,EDT,3.1,C,,318,08,08,08,08,08,08,NO,3,,,,,,,,,,,,,30,,.,,,,,CKR961032,,0,180,,,,,3.1,0.19,220,,,,,,,,,,,,.,,,39060,13341,600,,
CKM19960711,CKM1996071103,AM,.,.,S,.,300,1,D,-82.9535,29.0975,,,.,,,,,,,,EDT,3.4,C,,342,08,08,08,08,08,08,NO,2.9,,,,,,,,,,,,,30,,.,,,,,CKR961033,,0,180,,,,,3.6,0.27,229,,,,,,,,,,,,.,,,42660,13341,600,,
CKM19960711,CKM1996071104,AM,.,.,S,.,300,1,D,-83.076,29.034333,,,.,,,,,,,,EDT,5.6,C,,406,08,08,08,08,08,08,NO,3,,,,,,,,,,,,,0.3,,.,,,,,CKR961035,,0,270,,,,,5.9,0.19,30,,,,,,,,,,,,.,,,49860,13341,600,,
CKM19960711,CKM1996071105,AM,.,.,S,.,300,1,D,-83.073167,29.040833,,,.,,,,,,,,EDT,5.7,C,,404,08,08,08,08,08,08,NO,3.5,,,,,,,,,,,,,1.5,,.,,,,,CKR961036,,0,270,,,,,5.6,0.21,68,,,,,,,,,,,,.,,,52860,13341,600,,
CKM19960711,CKM1996071106,AM,.,.,S,.,300,1,D,-83.067833,29.073167,,,.,,,,,,,,EDT,3,C,,359,08,08,08,08,08,08,NO,1.8,,,,,,,,,,,,,40,,.,,,,,CKR961037,,0,270,,,,,2.7,0.12,45,,,,,,,,,,,,.,,,55680,13341,600,,
CKM19960712,CKM1996071201,AM,.,.,S,.,300,1,D,-83.028833,29.089,,,.,,,,,,,,EDT,3.7,C,,338,08,08,08,08,08,08,NO,2.5,,,,,,,,,,,,,80,,.,,,,,CKR961038,,0,180,,,,,3.6,0.15,270,,,,,,,,,,,,.,,,35760,13342,600,,
CKM19960712,CKM1996071202,AM,.,.,S,.,300,1,D,-83.025333,29.105667,,,.,,,,,,,,EDT,3.4,C,,314,08,08,08,08,08,08,NO,1.5,,,,,,,,,,,,,10,,.,,,,,CKR961039,,0,0,,,,,2.8,0.17,273,,,,,,,,,,,,.,,,40380,13342,600,,
CKM19960715,CKM1996071501,AM,.,.,S,.,300,1,L,-83.136167,29.123333,,,.,,,,,,,,EDT,5.2,C,,284,08,08,08,08,08,08,NO,3.4,,,,,,,,,,,,,12,,.,,,,,CKR961040,,0,0,,,,,5.4,0.21,171,,,,,,,,,,,,.,,,35400,13345,600,,
CKM19960715,CKM1996071502,AM,.,.,S,.,300,1,L,-83.155833,29.164167,,,.,,,,,,,,EDT,4.8,C,,237,08,08,08,08,08,08,NO,4,,,,,,,,,,,,,0.5,,.,,,,,CKR961041,,0,0,,,,,4.9,0.19,184,,,,,,,,,,,,.,,,37740,13345,600,,
CKM19960715,CKM1996071503,AM,.,.,S,.,300,1,L,-83.142667,29.170833,,,.,,,,,,,,EDT,4,C,,212,08,08,08,08,08,08,NO,2.4,,,,,,,,,,,,,0.3,,.,,,,,CKR961042,,0,0,,,,,4,0.25,177,,,,,,,,,,,,.,,,39780,13345,720,,
CKM19960715,CKM1996071504,AM,.,.,S,.,300,1,L,-83.118,29.173167,,,.,,,,,,,,EDT,2.8,C,,213,08,08,08,08,08,08,NO,1.6,,,,,,,,,,,,,2,,.,,,,,CKR961043,,0,0,,,,,2.8,0.22,184,,,,,,,,,,,,.,,,41700,13345,600,,
CKM19960715,CKM1996071505,AM,.,.,S,.,300,1,L,-83.107,29.176667,,,.,,,,,,,,EDT,2.1,C,,214,08,08,08,08,08,08,NO,1.4,,,,,,,,,,,,,10,,.,,,,,CKR961044,,0,0,,,,,2.4,0.2,202,,,,,,,,,,,,.,,,43680,13345,600,,
CKM19960715,CKM1996071506,AM,.,.,S,.,300,1,L,-83.141333,29.196167,,,.,,,,,,,,EDT,4.2,B,,194,08,08,08,08,08,08,NO,2.2,,,,,,,,,,,,,2,,.,,,,,CKR961045,,0,0,,,,,4.3,0.21,217,,,,,,,,,,,,.,,,47340,13345,600,,
CKM19960716,CKM1996071601,AM,.,.,S,A,20,1,L,-83.0585,29.080667,,,.,,,,,,,,EDT,0.6,C,,360,08,08,08,08,08,08,YES,0.6,,,100,,,,,,,,,,5,,U,,,,,CKR961047,,0,0,0.6,,,,,,,,,,,,,,,,,,.,,,29400,13346,,,
CKM19960716,CKM1996071602,AM,.,.,S,B,20,1,L,-83.011333,29.149833,,,.,,,,,,,,EDT,1,C,,269,08,08,08,08,08,08,NO,0.3,,,0,,,,,,,,,,30,,U,,,,,CKR961048,,0,180,1,,,,,,,,,,,,,,,,,,.,,,33300,13346,,,
CKM19960716,CKM1996071603,AM,.,.,S,B,20,1,L,-82.974167,29.139333,,,.,,,,,,,,EDT,1.2,C,,271,08,08,08,08,08,08,NO,0.7,,,0,,,,,,,,,,0,,U,,,,,CKR961049,,0,0,1.2,,,,,,,,,,,,,,,,,,.,,,37200,13346,,,
CKM19960716,CKM1996071604,AM,.,.,S,B,20,1,L,-82.954,29.154167,,,.,,,,,,,,EDT,1.2,C,,249,08,08,08,08,08,08,NO,0.7,,,20,,,,,,,,,,2,,U,,,,,CKR961050,,0,0,1.2,,,,,,,,,,,,,,,,,,.,,,39600,13346,,,
CKM19960717,CKM1996071701,AM,.,.,S,B,20,1,D,-83.122833,29.263667,,,.,,,,,,,,EDT,0.8,B,,151,08,08,08,08,08,08,YES,0.8,,,0,,,,,,,,,,1.5,,U,,,,,CKR961051,,0,0,0.8,,,,,,,,,,,,,,,,,,.,,,31860,13347,,,
CKM19960717,CKM1996071702,AM,.,.,S,B,20,1,D,-83.194333,29.313167,,,.,,,,,,,,EDT,0.8,B,,116,08,08,08,08,08,08,YES,0.8,,,0,,,,,,,,,,0.5,,U,,,,,CKR961052,,0,180,0.9,,,,,,,,,,,,,,,,,,.,,,35580,13347,,,
CKM19960717,CKM1996071703,AM,.,.,S,.,300,1,D,-83.2505,29.3375,,,.,,,,,,,,EDT,2.7,B,,94,08,08,08,08,08,08,NO,1.4,,,,,,,,,,,,,20,,.,,,,,CKR961053,,0,180,,,,,3.4,0.21,288,,,,,,,,,,,,.,,,42300,13347,600,,
CKM19960717,CKM1996071704,AM,.,.,S,.,300,1,D,-83.206333,29.292,,,.,,,,,,,,EDT,3.7,B,,124,08,08,08,08,08,08,NO,1.2,,,,,,,,,,,,,25,,.,,,,,CKR961054,,0,0,,,,,3.9,0.19,208,,,,,,,,,,,,.,,,46440,13347,600,,
CKM19960717,CKM1996071705,AM,.,.,S,.,300,1,D,-83.222167,29.272833,,,.,,,,,,,,EDT,4.2,B,,134,08,08,08,08,08,08,NO,2.8,,,,,,,,,,,,,3,,.,,,,,CKR961055,,0,270,,,,,4.8,0.22,277,,,,,,,,,,,,.,,,48780,13347,600,,
CKM19960717,CKM1996071706,AM,.,.,S,.,300,1,D,-83.194,29.263,,,.,,,,,,,,EDT,2.8,B,,147,08,08,08,08,08,08,NO,1.4,,,,,,,,,,,,,4,,.,,,,,CKR961056,,0,270,,,,,2.8,0.23,286,,,,,,,,,,,,.,,,51000,13347,600,,
CKM19960718,CKM1996071801,AM,.,.,S,A,20,1,D,-83.069167,29.125667,,,.,,,,,,,,EDT,1,C,,288,08,08,08,08,08,08,NO,0.7,,,13,,,,,,,,,,0.3,,U,,,,,CKR960140,,0,0,1,,,,,,,,,,,,,,,,,,.,,,35700,13348,,,
CKM19960718,CKM1996071802,AM,.,.,S,A,20,1,D,-83.066167,29.127,,,.,,,,,,,,EDT,1,C,,289,08,08,08,08,08,08,NO,0.7,,,75,,,,,,,,,,0.3,,U,,,,,CKR960141,,0,0,1,,,,,,,,,,,,,,,,,,.,,,38400,13348,,,
CKM19960718,CKM1996071803,AM,.,.,S,.,22,1,D,-82.9645,29.173,,,.,,,,,,,,EDT,0.5,C,,223,08,08,08,08,08,08,NO,0.4,,,0,,,,,,,,,,0.2,3,G,0,,,,CKR960142,,0,90,0,,,,,,,,,,,,,,,,,,.,,,46500,13348,,,
CKM19960724,CKM1996072401,AM,.,.,S,D,23,1,D,-83.163333,29.355667,,,.,,,,,,,,EDT,0.7,B,,91,08,08,08,08,08,08,NO,0.5,,,0,,,,,,,,,,1,0,S,0,,,,CKR960143,,,180,0.5,,,,,,,,,,,,,,,,,,.,,,43020,13354,,,
CKM19960724,CKM1996072402,AM,.,.,S,D,23,1,D,-83.123333,29.2865,,,.,,,,,,,,EDT,0.9,B,,129,08,08,08,08,08,08,NO,0.5,,,0,,,,,,,,,,0.5,2,S,0,,,,CKR960144,,,180,0,,,,,,,,,,,,,,,,,,.,,,52920,13354,,,
